ds,price_yhat,price_lower,price_upper,rent_yhat,rent_lower,rent_upper,projected_roi_pct,prediction_id,target_date_id,is_latest_forecast,generated_at
2033-05-01,1656362.8712269822,1597481.4947852395,1710580.6955181733,138015.97350730508,127616.15250493979,147302.53623651466,1067.4,203305_202606221956,20330501,1,2026-06-22 19:56:34.300409
2033-06-01,1673879.0073144373,1617115.0122148446,1730678.9487077144,138386.90000251637,127927.15902644992,148404.62155887438,1067.4,203306_202606221956,20330601,1,2026-06-22 19:56:34.300409
2033-07-01,1650986.1855602474,1593132.0974900613,1709625.459018691,136696.00388137606,126180.02307947972,146482.60233306367,1067.4,203307_202606221956,20330701,1,2026-06-22 19:56:34.300409
2033-08-01,1660312.1404976265,1602864.9238670203,1716081.9624272268,138245.83742013326,127976.25321116054,147636.9666859765,1067.4,203308_202606221956,20330801,1,2026-06-22 19:56:34.300409
2033-09-01,1662877.5881009125,1604660.5671806228,1721673.0502547743,138257.09517593822,127555.17827158917,148344.01313422748,1067.4,203309_202606221956,20330901,1,2026-06-22 19:56:34.300409
2033-10-01,1652132.5718848857,1594159.5681609178,1707473.3205373571,138886.23161423163,128200.74805712765,148855.853548016,1067.4,203310_202606221956,20331001,1,2026-06-22 19:56:34.300409
2033-11-01,1682268.9935523993,1625076.9738054443,1734626.2440517417,138879.5837249407,127688.35806256135,148790.23907016517,1067.4,203311_202606221956,20331101,1,2026-06-22 19:56:34.300409
2033-12-01,1665403.0532203226,1605790.813795814,1724532.7142733024,139456.33348905103,127793.12011069836,149607.25766928194,1067.4,203312_202606221956,20331201,1,2026-06-22 19:56:34.300409
2034-01-01,1660292.6326641645,1598138.2918001413,1715177.4850036597,135815.75936366685,125310.0770135181,146167.235706318,1067.4,203401_202606221956,20340101,1,2026-06-22 19:56:34.300409
2034-02-01,1664911.4302601563,1603782.0913364396,1719617.9613251947,138777.04381978937,127380.6662048848,148718.90694115908,1067.4,203402_202606221956,20340201,1,2026-06-22 19:56:34.300409
2034-03-01,1661837.7084963957,1601734.0935647353,1722158.543449991,137444.6176889502,125681.1105142416,147943.31374911417,1067.4,203403_202606221956,20340301,1,2026-06-22 19:56:34.300409
2034-04-01,1682606.2978132423,1620603.4723366601,1743180.6176762898,140484.95889629459,128702.02662138092,151172.17096155006,1067.4,203404_202606221956,20340401,1,2026-06-22 19:56:34.300409
2034-05-01,1668207.124521764,1603910.1608002933,1728840.2023230488,139785.6003914498,127947.34166743635,149756.8153274771,1067.4,203405_202606221956,20340501,1,2026-06-22 19:56:34.300409
2034-06-01,1680415.8783777456,1620538.6585451844,1738079.7701736826,140497.74334944258,128271.86803534167,151149.15950513078,1067.4,203406_202606221956,20340601,1,2026-06-22 19:56:34.300409
2034-07-01,1680813.0933385668,1620901.037479565,1741843.2408566715,139586.82221235073,127704.49840478215,150352.16257490648,1067.4,203407_202606221956,20340701,1,2026-06-22 19:56:34.300409
2034-08-01,1686549.171752938,1620677.707568534,1748943.5342749378,140014.31933810702,128011.58944556977,151245.86602069685,1067.4,203408_202606221956,20340801,1,2026-06-22 19:56:34.300409
2034-09-01,1675357.7461452582,1615242.0657370752,1737727.5413884106,140487.6264368712,127793.91524262087,151901.0198964986,1067.4,203409_202606221956,20340901,1,2026-06-22 19:56:34.300409
2034-10-01,1679418.6604670756,1616458.3666123105,1739987.8285504715,141007.40451044816,128492.78587469987,152207.06039153037,1067.4,203410_202606221956,20341001,1,2026-06-22 19:56:34.300409
2034-11-01,1699916.6157815116,1636684.2712329726,1763657.3990957614,141220.26510420293,128462.82074101559,151879.6559853323,1067.4,203411_202606221956,20341101,1,2026-06-22 19:56:34.300409
2034-12-01,1683212.8821974976,1619723.62297338,1743477.71129723,141485.17110292433,128908.25728151652,152194.5326173517,1067.4,203412_202606221956,20341201,1,2026-06-22 19:56:34.300409
